id,x,y,
0,111583.94418313791,-3714678.99131796,
1,111583.94418313791,-3713678.99131796,
2,111583.94418313791,-3712678.99131796,
3,111583.94418313791,-3711678.99131796,
4,111583.94418313791,-3710678.99131796,
5,111583.94418313791,-3709678.99131796,
6,111583.94418313791,-3708678.99131796,
7,111583.94418313791,-3707678.99131796,
8,111583.94418313791,-3706678.99131796,
9,111583.94418313791,-3705678.99131796,
10,111583.94418313791,-3704678.99131796,
11,111583.94418313791,-3703678.99131796,
12,111583.94418313791,-3702678.99131796,
13,111583.94418313791,-3701678.99131796,
14,111583.94418313791,-3700678.99131796,
15,111583.94418313791,-3699678.99131796,
16,111583.94418313791,-3698678.99131796,
17,111583.94418313791,-3697678.99131796,
18,111583.94418313791,-3696678.99131796,
19,111583.94418313791,-3695678.99131796,
20,111583.94418313791,-3694678.99131796,
21,111583.94418313791,-3693678.99131796,
22,111583.94418313791,-3692678.99131796,
23,111583.94418313791,-3691678.99131796,
24,111583.94418313791,-3690678.99131796,
25,111583.94418313791,-3689678.99131796,
26,111583.94418313791,-3688678.99131796,
27,111583.94418313791,-3687678.99131796,
28,111583.94418313791,-3686678.99131796,
29,111583.94418313791,-3685678.99131796,
30,111583.94418313791,-3684678.99131796,
31,111583.94418313791,-3683678.99131796,
32,111583.94418313791,-3682678.99131796,
33,111583.94418313791,-3681678.99131796,
34,111583.94418313791,-3680678.99131796,
35,111583.94418313791,-3679678.99131796,
36,111583.94418313791,-3678678.99131796,
37,111583.94418313791,-3677678.99131796,
38,111583.94418313791,-3676678.99131796,
39,111583.94418313791,-3675678.99131796,
40,111583.94418313791,-3674678.99131796,
41,111583.94418313791,-3673678.99131796,
42,111583.94418313791,-3672678.99131796,
43,111583.94418313791,-3671678.99131796,
44,111583.94418313791,-3670678.99131796,
45,111583.94418313791,-3669678.99131796,
46,111583.94418313791,-3668678.99131796,
47,112583.94418313791,-3714678.99131796,
48,112583.94418313791,-3713678.99131796,
49,112583.94418313791,-3712678.99131796,
50,112583.94418313791,-3711678.99131796,
51,112583.94418313791,-3710678.99131796,
52,112583.94418313791,-3709678.99131796,
53,112583.94418313791,-3708678.99131796,
54,112583.94418313791,-3707678.99131796,
55,112583.94418313791,-3706678.99131796,
56,112583.94418313791,-3705678.99131796,
57,112583.94418313791,-3704678.99131796,
58,112583.94418313791,-3703678.99131796,
59,112583.94418313791,-3702678.99131796,
60,112583.94418313791,-3701678.99131796,
61,112583.94418313791,-3700678.99131796,
62,112583.94418313791,-3699678.99131796,
63,112583.94418313791,-3698678.99131796,
64,112583.94418313791,-3697678.99131796,
65,112583.94418313791,-3696678.99131796,
66,112583.94418313791,-3695678.99131796,
67,112583.94418313791,-3694678.99131796,
68,112583.94418313791,-3693678.99131796,
69,112583.94418313791,-3692678.99131796,
70,112583.94418313791,-3691678.99131796,
71,112583.94418313791,-3690678.99131796,
72,112583.94418313791,-3689678.99131796,
73,112583.94418313791,-3688678.99131796,
74,112583.94418313791,-3687678.99131796,
75,112583.94418313791,-3686678.99131796,
76,112583.94418313791,-3685678.99131796,
77,112583.94418313791,-3684678.99131796,
78,112583.94418313791,-3683678.99131796,
79,112583.94418313791,-3682678.99131796,
80,112583.94418313791,-3681678.99131796,
81,112583.94418313791,-3680678.99131796,
82,112583.94418313791,-3679678.99131796,
83,112583.94418313791,-3678678.99131796,
84,112583.94418313791,-3677678.99131796,
85,112583.94418313791,-3676678.99131796,
86,112583.94418313791,-3675678.99131796,
87,112583.94418313791,-3674678.99131796,
88,112583.94418313791,-3673678.99131796,
89,112583.94418313791,-3672678.99131796,
90,112583.94418313791,-3671678.99131796,
91,112583.94418313791,-3670678.99131796,
92,112583.94418313791,-3669678.99131796,
93,112583.94418313791,-3668678.99131796,
94,113583.94418313791,-3714678.99131796,
95,113583.94418313791,-3713678.99131796,
96,113583.94418313791,-3712678.99131796,
97,113583.94418313791,-3711678.99131796,
98,113583.94418313791,-3710678.99131796,
99,113583.94418313791,-3709678.99131796,
100,113583.94418313791,-3708678.99131796,
101,113583.94418313791,-3707678.99131796,
102,113583.94418313791,-3706678.99131796,
103,113583.94418313791,-3705678.99131796,
104,113583.94418313791,-3704678.99131796,
105,113583.94418313791,-3703678.99131796,
106,113583.94418313791,-3702678.99131796,
107,113583.94418313791,-3701678.99131796,
108,113583.94418313791,-3700678.99131796,
109,113583.94418313791,-3699678.99131796,
110,113583.94418313791,-3698678.99131796,
111,113583.94418313791,-3697678.99131796,
112,113583.94418313791,-3696678.99131796,
113,113583.94418313791,-3695678.99131796,
114,113583.94418313791,-3694678.99131796,
115,113583.94418313791,-3693678.99131796,
116,113583.94418313791,-3692678.99131796,
117,113583.94418313791,-3691678.99131796,
118,113583.94418313791,-3690678.99131796,
119,113583.94418313791,-3689678.99131796,
120,113583.94418313791,-3688678.99131796,
121,113583.94418313791,-3687678.99131796,
122,113583.94418313791,-3686678.99131796,
123,113583.94418313791,-3685678.99131796,
124,113583.94418313791,-3684678.99131796,
125,113583.94418313791,-3683678.99131796,
126,113583.94418313791,-3682678.99131796,
127,113583.94418313791,-3681678.99131796,
128,113583.94418313791,-3680678.99131796,
129,113583.94418313791,-3679678.99131796,
130,113583.94418313791,-3678678.99131796,
131,113583.94418313791,-3677678.99131796,
132,113583.94418313791,-3676678.99131796,
133,113583.94418313791,-3675678.99131796,
134,113583.94418313791,-3674678.99131796,
135,113583.94418313791,-3673678.99131796,
136,113583.94418313791,-3672678.99131796,
137,113583.94418313791,-3671678.99131796,
138,113583.94418313791,-3670678.99131796,
139,113583.94418313791,-3669678.99131796,
140,113583.94418313791,-3668678.99131796,
141,114583.94418313791,-3714678.99131796,
142,114583.94418313791,-3713678.99131796,
143,114583.94418313791,-3712678.99131796,
144,114583.94418313791,-3711678.99131796,
145,114583.94418313791,-3710678.99131796,
146,114583.94418313791,-3709678.99131796,
147,114583.94418313791,-3708678.99131796,
148,114583.94418313791,-3707678.99131796,
149,114583.94418313791,-3706678.99131796,
150,114583.94418313791,-3705678.99131796,
151,114583.94418313791,-3704678.99131796,
152,114583.94418313791,-3703678.99131796,
153,114583.94418313791,-3702678.99131796,
154,114583.94418313791,-3701678.99131796,
155,114583.94418313791,-3700678.99131796,
156,114583.94418313791,-3699678.99131796,
157,114583.94418313791,-3698678.99131796,
158,114583.94418313791,-3697678.99131796,
159,114583.94418313791,-3696678.99131796,
160,114583.94418313791,-3695678.99131796,
161,114583.94418313791,-3694678.99131796,
162,114583.94418313791,-3693678.99131796,
163,114583.94418313791,-3692678.99131796,
164,114583.94418313791,-3691678.99131796,
165,114583.94418313791,-3690678.99131796,
166,114583.94418313791,-3689678.99131796,
167,114583.94418313791,-3688678.99131796,
168,114583.94418313791,-3687678.99131796,
169,114583.94418313791,-3686678.99131796,
170,114583.94418313791,-3685678.99131796,
171,114583.94418313791,-3684678.99131796,
172,114583.94418313791,-3683678.99131796,
173,114583.94418313791,-3682678.99131796,
174,114583.94418313791,-3681678.99131796,
175,114583.94418313791,-3680678.99131796,
176,114583.94418313791,-3679678.99131796,
177,114583.94418313791,-3678678.99131796,
178,114583.94418313791,-3677678.99131796,
179,114583.94418313791,-3676678.99131796,
180,114583.94418313791,-3675678.99131796,
181,114583.94418313791,-3674678.99131796,
182,114583.94418313791,-3673678.99131796,
183,114583.94418313791,-3672678.99131796,
184,114583.94418313791,-3671678.99131796,
185,114583.94418313791,-3670678.99131796,
186,114583.94418313791,-3669678.99131796,
187,114583.94418313791,-3668678.99131796,
188,115583.94418313791,-3714678.99131796,
189,115583.94418313791,-3713678.99131796,
190,115583.94418313791,-3712678.99131796,
191,115583.94418313791,-3711678.99131796,
192,115583.94418313791,-3710678.99131796,
193,115583.94418313791,-3709678.99131796,
194,115583.94418313791,-3708678.99131796,
195,115583.94418313791,-3707678.99131796,
196,115583.94418313791,-3706678.99131796,
197,115583.94418313791,-3705678.99131796,
198,115583.94418313791,-3704678.99131796,
199,115583.94418313791,-3703678.99131796,
200,115583.94418313791,-3702678.99131796,
201,115583.94418313791,-3701678.99131796,
202,115583.94418313791,-3700678.99131796,
203,115583.94418313791,-3699678.99131796,
204,115583.94418313791,-3698678.99131796,
205,115583.94418313791,-3697678.99131796,
206,115583.94418313791,-3696678.99131796,
207,115583.94418313791,-3695678.99131796,
208,115583.94418313791,-3694678.99131796,
209,115583.94418313791,-3693678.99131796,
210,115583.94418313791,-3692678.99131796,
211,115583.94418313791,-3691678.99131796,
212,115583.94418313791,-3690678.99131796,
213,115583.94418313791,-3689678.99131796,
214,115583.94418313791,-3688678.99131796,
215,115583.94418313791,-3687678.99131796,
216,115583.94418313791,-3686678.99131796,
217,115583.94418313791,-3685678.99131796,
218,115583.94418313791,-3684678.99131796,
219,115583.94418313791,-3683678.99131796,
220,115583.94418313791,-3682678.99131796,
221,115583.94418313791,-3681678.99131796,
222,115583.94418313791,-3680678.99131796,
223,115583.94418313791,-3679678.99131796,
224,115583.94418313791,-3678678.99131796,
225,115583.94418313791,-3677678.99131796,
226,115583.94418313791,-3676678.99131796,
227,115583.94418313791,-3675678.99131796,
228,115583.94418313791,-3674678.99131796,
229,115583.94418313791,-3673678.99131796,
230,115583.94418313791,-3672678.99131796,
231,115583.94418313791,-3671678.99131796,
232,115583.94418313791,-3670678.99131796,
233,115583.94418313791,-3669678.99131796,
234,115583.94418313791,-3668678.99131796,
235,116583.94418313791,-3714678.99131796,
236,116583.94418313791,-3713678.99131796,
237,116583.94418313791,-3712678.99131796,
238,116583.94418313791,-3711678.99131796,
239,116583.94418313791,-3710678.99131796,
240,116583.94418313791,-3709678.99131796,
241,116583.94418313791,-3708678.99131796,
242,116583.94418313791,-3707678.99131796,
243,116583.94418313791,-3706678.99131796,
244,116583.94418313791,-3705678.99131796,
245,116583.94418313791,-3704678.99131796,
